Item Name,Category,Description,Daily Rate,Image File,Tags,Colorways
Polyester,Polyester,Polyester — available in 112 colours.,12.00,cat/542.jpg,Khaki; Overlay; Polyester; Premium Polyester; beige; box; brown; lastcheck,112
Dupioni,Dupioni,Dupioni — available in 58 colours.,12.00,cat/816.jpg,Aubergine; Dupioni; purple,58
Haven Lighting,Lighting,Lighting — available in 18 colours.,45.00,cat/2575.jpg,haven; lighting,18
Crinkle,Crinkle,Crinkle — available in 23 colours.,12.00,cat/1046.jpg,Black; Crinkle,23
Premium Polyester Napkin,Napkins,Napkins — available in 66 colours.,12.00,cat/1102.jpg,beige; brown; napkin; poly cotton; tan,66
Lamour,Lamour Satin,Lamour Satin — available in 42 colours.,12.00,cat/243.jpg,Lamour; champagne; kendall; tan; ten; topper,42
Chargers,Chargers,Chargers — available in 17 colours.,3.00,cat/3232.jpg,chargers; silver,17
Pintuck,Pintuck,Pintuck — available in 41 colours.,12.00,cat/165.jpg,Pintuck; apple; green; pinktuck,41
Red Carpet,Carpet,Carpet — available in 7 colours.,90.00,cat/2376.jpg,Red; carpet,7
Satin,Satin,Satin — available in 50 colours.,12.00,cat/595.jpg,Overlay; Satin; champagne; tan,50
Premium Polyester,Polyester,Polyester — available in 48 colours.,12.00,cat/544.jpg,Polyester; beige,48
BAR HEIGHT Chiavari Chair,Chairs,Chairs — available in 6 colours.,8.00,cat/2109.jpg,Black; Chair; bar; bar height; chiavari; stool,6
Chiavari Chair,Chairs,Chairs — available in 7 colours.,8.00,cat/1864.jpg,Black; Chair; chiavari,7
Matte Gold,Flatware,Flatware — available in 5 colours.,1.00,cat/2182.jpg,Gold; butter; knife; matte,5
Silver Hammered,Flatware,Flatware — available in 5 colours.,1.00,cat/3669.jpg,dinner; fork; hammered; silver,5
Aldridge Lighting,Lighting,Lighting — available in 7 colours.,45.00,cat/2590.jpg,aldridge gardens; garden; lighting; pavilion,7
Ryder Stripe,Specialty,Specialty — available in 5 colours.,12.00,cat/3895.jpg,Stripe; blush; rhett; ryder,5
Gold/White Dipped,Flatware,Flatware — available in 4 colours.,1.00,cat/3263.jpg,Gold; dinner; dup; fork; matte,4
Mayfair,Specialty,Specialty — available in 4 colours.,12.00,cat/4020.jpg,maybelle; mayfair; tan,4
Pinched Taffeta,Pinched Taffeta,Pinched Taffeta — available in 4 colours.,12.00,cat/116.jpg,champagne; pinched taffeta,4
Rechargeable Lamp,Lighting,Lighting — available in 4 colours.,45.00,cat/3249.jpg,,4
French Toile,Specialty,Specialty — available in 7 colours.,12.00,cat/3186.jpg,White; blue; floral; french; french toile; specialty; toile,7
Damask,Damask,Damask — available in 5 colours.,12.00,cat/2779.jpg,Ivory; damask; silver,5
Dinner Fork,Flatware,Flatware — available in 5 colours.,1.00,cat/1896.jpg,capri; copper; dinner; fork; rose gold; steel,5
Dinner Knife,Flatware,Flatware — available in 5 colours.,1.00,cat/1897.jpg,capri; copper; dinner; knife; rose gold,5
Salad/Dessert Fork,Flatware,Flatware — available in 5 colours.,1.00,cat/1900.jpg,Salad; capri; copper; dessert; fork; rose gold,5
Teaspoon,Flatware,Flatware — available in 5 colours.,1.00,cat/1899.jpg,capri; copper; dinner; rose gold; spoon; teaspoon,5
Butter Knife,Flatware,Flatware — available in 4 colours.,1.00,cat/2179.jpg,butter; capri; copper; knife; rose gold,4
Patina,Specialty,Specialty — available in 4 colours.,12.00,cat/1571.jpg,,4
Soup/Dessert Spoon,Flatware,Flatware — available in 4 colours.,1.00,cat/1898.jpg,capri; copper; dessert; dinner; rose gold; soup; spoon,4
Demitasse Spoon,Flatware,Flatware — available in 3 colours.,1.00,cat/2180.jpg,capri; copper; demitasse; rose gold; spoon,3
Calico,Specialty,Specialty — available in 6 colours.,12.00,cat/1749.jpg,Dark Gray; Dark Grey; Light Grey; element; gray; light gray; silver,6
BASL Ceiling Drape,Drapery,Drapery — available in 3 colours.,12.00,cat/2654.jpg,barn at shady lane; basl; ceiling; drape,3
Lamour Satin,Lamour Satin,Lamour Satin — available in 3 colours.,12.00,cat/2992.jpg,Ivory; Lamour; Satin; pink,3
BASL Starbust Draping,Drapery,Drapery — available in 2 colours.,12.00,cat/2652.jpg,barn at shady lane; basl; drape; starburst,2
